restaurant_name,tfidf_keywords
Keg & Grill,"['grill', 'mix grill', 'grill platter', 'mix', 'mixed grill', 'spirits', 'curries', 'platter', 'mixed', 'popped']"
Bournbrook Pavilion,"['university', 'multi storey', 'liam', 'storey', 'park', 'multi', 'university birmingham', 'venue', 'staff helpful', 'event']"
Waki Maki,"['tofu', 'timothy', 'sushi rolls', 'salty couldn', 'incredibly salty', 'finish excellent', 'chatty gave', 'fake', 'ruby', 'breaded']"
The Jewellery Quarter Birmingham,"['ring', 'jewellery', 'expert', 'men', 'lost', 'advice', 'shops', 'quality', 'area sunny', 'area visited']"
Vietnamese Street Kitchen,"['vietnamese', 'fresh', 'chilli', 'grilled', 'flavourful', 'starters', 'enjoyed', 'mains', 'traditional', 'vegetarian']"
The Sunflower Lounge,"['chris', 'bar', 'night', 'priced', 'drinks', 'needed sit', 'ed', 'friendly felt', 'night best', 'small little']"
YO! Birmingham Grand Central,"['belt', 'salmon', 'charge', 'service charge', 'service', 'bottomless', 'experience', 'member staff', 'believe', 'sat']"
The Arcadian by M,"['seafood', 'walk', 'really excellent', 'paradise', 'cob', 'clubs', 'service ambience', 'min walk', 'chef kind', 'shellfish']"
Dezhou Style Braised Chicken 德州扒鸡,"['noodles', 'texture', 'braised chicken', 'braised', 'chicken', 'hand', 'authentic', 'tea', 'tea cold', 'stretched']"
Pizza Express,"['pizza express', 'pizza', 'express', 'harborne', '2025', 'birthday', 'really recommended', 'dessert lovers', 'thanks making', 'sundae dessert']"
Birmingham Blue Nile Restaurant,"['ethiopian', 'lovely', 'authentic', 'trying', 'authentic african', 'warm service', 'taste bit', 'say people', 'lovely warm', 'africa']"
Sol Cafe,"['community', 'people amazing', 'best coconut', 'cafe months', 'night 4th', 'open mic', 'cappuccino ve', 'workshops', 'cosy little', 'poetry']"
Subway,"['sandwich', 'subway', 'refund', 'sandwiches', 'ordering', 'make fresh', 'service horrible', 'counter customer', 'know whats', 'couldn sandwich']"
OAKBERRY ACAI | Bullring,"['soo', 'sooo', 'really', 'taste', 'service', 'ratio', 'taste better', 'area absolutely', 'best staff', 'pleasant really']"
Aquarius Action Projects,"['really difference', 'thanks help', 'mrs', 'staff work', 'helpful highly', 'activities', 'trust', 'really helpful', 'difference', 'amazing staff']"
Dilshad Indian & Takeaway,"['biryani', 'turmeric', 'indian', 'ordering', 'super friendly', 'experience', 'recommend ordering', 'interior decor', 'making wait', 'afraid']"
Birmingham Royal Ballet,"['ballet', 'company', 'genres', 'birmingham enjoyed', 'dancers', 'definitely star', 'music really', 'pushing', 'star experience', 'royal']"
Sweet Pepper,[]
Grand Central Kitchen,"['central kitchen', 'central', 'coffee', 'grand central', 'grand', 'tasting', 'regular', 'spot', 'staff friendly', 'kitchen']"
Don Diego Edgbaston,"['lamb', 'cannelloni', 'meatballs', 'huge', 'portions', 'meals portions', 'defo coming', 'feel authentic', 'lamb cooked', 'launch']"
Indi Vidual Bar Birmingham,"['bouncers', 'bouncer', 'told', 'dressed', 'racist', 'spend money', 'id', 'bar', 'let', 'allowed']"
Nexus cafe,"['cafe', 'totally', 'coffee', 'close', 'small outdoor', 'chatted', 'drink oat', 'chilling', 'wonderful garden', 'venue thank']"
Costa Coffee,"['cafe', 'outdoor', 'swimming', 'sitting', 'away', 'pounds', 'pool', 'appreciated', '05', 'fitness']"
Edgbaston House,"['hotel', 'room', 'windows', 'reception', 'air', 'open', 'code', 'sleep', 'staying', 'site']"
The Wellington,"['ales', 'pub', 'cats', 'bar', 'customers', 'beers', 'wine', 'added', 'range', 'real']"
The Goat King,"['goat', 'rav', 'king', 'roast', 'indian', 'slow', 'curry', 've', 'cooked', 'rice']"
Costa Coffee,"['coffee', 'costa', 'spot work', 'relaxation', 'newly opened', 'cozy', 'inviting', 'discounts', 'newly', 'warm inviting']"
Premier Inn Birmingham City Centre (Waterloo Street) hotel,"['room', 'bed', 'wasn working', 'bed comfortable', 'rooms clean', 'overlooking', 'hotel', 'location', 'stay', 'comfortable']"
The Plough Harborne,"['241', 'pizza', 'burger', 'burgers', 'garden', 'spicy', 'meals', 'main', 'met friends', 'fortunately']"
Britannia Hotel Birmingham,"['room', 'noise', 'hotel', 'entrance', 'street', 'smelt', 'cctv', 'law', 'close', 'hotels']"
Hive Cafe,"['library', 'kids', 'selly oak', 'selly', 'oak', 'nan', 'space', 'really family', 'library café', 'young kids']"
Baguette Du Maison,"['baguette', 'smoothies', 'shop', 'fresh', 'clean', 'fresh baked', 'cafe family', 'just breakfast', 'boom', 'quite decent']"
Costa Coffee,"['dairy', 'lid', 'barista', 'mistake', 'costa', 'occasion', 'hand', 'cup', 'milk', 'latte']"
Medicine Bakery,"['medicine', 'bench', 'bakery', 'wait', 'cooling', 'acknowledgment', 'medicine bakery', 'brunch', 'long wait', 'pastry']"
Loki Wine Bar & Shop Edgbaston,"['wine', 'deli', 'wines', 'card', 'lovely atmosphere', 'wooden', 'wonderful', 'glass', 'shop', 'knowledgeable']"
There Goes Coffee at Centre City Tower,"['coffee', 'building', 'public', 'open', 'general public', 'amy', 'baristas', 'general', 'access', 'coffee shop']"
Subway,"['subway', 'recent experience', 'speaking', 'cookies', 'recent', 'store', 'uniform', 'waffle fries', 'dear', 'member']"
Rodizio Rico,"['salad bar', 'salad', 'plate', 'options', 'bar', 'meat', 'pork', 'lamb', 'chicken', 'vegan']"
World of beauty,"['beauty', 'world', 'makes feel', 'laser', 'feel', 'does', 'feel comfortable', 'makes', 'ease', 'amazing']"
Happy Parents Happy Baby Antenatal Classes - Edgbaston,['nan']
Pizza Hut,"['pizza', 'buffet', 'tom', 'venue', 'vegetarian', 'kids', 'new street', 'fresh', 'came', 'tasty exactly']"
Subway,"['extra', 'days', 'ask', 'sandwiches ve', 'doesn know', 'covid', 'best sandwiches', 'quick shop', 'lady working', 'asked extra']"
Premier Suites - Serviced Apartments Birmingham,"['suites', 'premier', 'stay', 'paulina', 'stayed', 'recently stayed', 'location', 'central', 'welcoming', 'highly recommended']"
Holiday Inn Birmingham City Centre by IHG,"['room', 'hotel', 'accessible', 'accessible room', 'bars restaurants', 'hotel really', 'location', 'fix', 'rooms', 'opposite']"
Henry Wong,"['classy', 'professional', 'tender', 'chinese', 'lamb', 'cozy', 'flavor', 'outstanding', 'presented', 'henry']"
